cod;denumire;denumire_scurta
01012100;"Cai, măgari, catâri și bardoi, vii — Cai — Reproducători de rasă pură";"Reproducători de rasă pură"
01012910;"Cai, măgari, catâri și bardoi, vii — Cai — Altele — Destinați sacrificării";"Destinați sacrificării"
01012990;"Cai, măgari, catâri și bardoi, vii — Cai — Altele";Altele
01013000;"Cai, măgari, catâri și bardoi, vii — Măgari";Măgari
01019000;"Cai, măgari, catâri și bardoi, vii — Altele";Altele
01022110;"Animale vii din specia bovine — Bovine — Reproducători de rasă pură — Juninci (care nu au fătat niciodată)";"Juninci (care nu au fătat niciodată)"
01022130;"Animale vii din specia bovine — Bovine — Reproducători de rasă pură — Vaci";Vaci
01022190;"Animale vii din specia bovine — Bovine — Reproducători de rasă pură — Altele";Altele
01022905;"Animale vii din specia bovine — Bovine — Altele — Din subgenul Bibos sau din subgenul Poephagus";"Din subgenul Bibos sau din subgenul Poephagus"
01022910;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate de maximum 80 kg";"Cu o greutate de maximum 80 kg"
01022921;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 80 kg, dar de maximum 160 kg — Destinate sacrificării";"Destinate sacrificării"
01022929;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 80 kg, dar de maximum 160 kg";Altele
01022941;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 160 kg, dar de maximum 300 kg — Destinate sacrificării";"Destinate sacrificării"
01022949;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 160 kg, dar de maximum 300 kg";Altele
01022951;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 300 kg — Juninci (care nu au fătat niciodată) — Destinate sacrificării";"Destinate sacrificării"
01022959;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 300 kg — Juninci (care nu au fătat niciodată)";Altele
01022961;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 300 kg — Vaci — Destinate sacrificării";"Destinate sacrificării"
01022969;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 300 kg — Vaci";Altele
01022991;"Animale vii din specia bovine — Bovine — Altele — Cu o greutate peste 300 kg — Destinate sacrificării";"Destinate sacrificării"
